ID,Source,Action,Review
ADCYAP1__Tan2016_VMPO,"Tan et al. 2016, Cell",merge_supported_marker_set,Merge identical marker definitions across papers. Retain RNA correspondence and spatial projection as an expression-defined set.
BDNF__Tan2016_VMPO,"Tan et al. 2016, Cell",merge_supported_marker_set,Merge identical marker definitions across papers. Retain RNA correspondence and spatial projection as an expression-defined set.
ADCYAP1__Hrvatin2020_avMLPA,"Hrvatin et al. 2020, Nature",merge_supported_marker_set,Merge identical marker definitions across papers. Retain RNA correspondence and spatial projection as an expression-defined set.
ADCYAP1__Hrvatin2020_e5_anchor,"Hrvatin et al. 2020, Nature",archive_failed_validation,Independent NHP marker support below 3/4 donors. The two-marker proxy only samples part of the original e5/e10 definition.
ADCYAP1__Hrvatin2020_e10_anchor,"Hrvatin et al. 2020, Nature",archive_failed_validation,Independent NHP marker support below 3/4 donors. The two-marker proxy only samples part of the original e5/e10 definition.
PTGER3__Machado2025_MnPO,"Machado et al. 2025, Nature",archive_failed_validation,Independent NHP marker support below 3/4 donors.
ADCYAP1__Machado2025_PACAP_comparison,"Machado et al. 2025, Nature",merge_supported_marker_set,Merge identical marker definitions across papers. Retain RNA correspondence and spatial projection as an expression-defined set.
ADCYAP1__Roessler2026_avPOA,"Roessler et al. 2026, bioRxiv (preprint)",merge_supported_marker_set,Merge identical marker definitions across papers. Retain RNA correspondence and spatial projection as an expression-defined set.
QRFP__Takahashi2020_Q,"Takahashi et al. 2020, Nature",archive_failed_validation,Mouse identity gate failed.
QRFP__Takahashi2022_Q_light,"Takahashi et al. 2022, Cell Reports Methods",archive_failed_validation,Mouse identity gate failed.
QRFP__Lee2025_Q,"Lee et al. 2025, Nature Communications",archive_failed_validation,Mouse identity gate failed.
QRFP__Hirano2026_Q,"Hirano et al. 2026, PLOS Biology",archive_failed_validation,Mouse identity gate failed.
TRPM2__Song2016_POA,"Song et al. 2016, Science",archive_failed_validation,Mouse identity gate failed.
TRPM2__Yamaguchi2023_POA,"Yamaguchi et al. 2023, Current Biology",archive_failed_validation,Mouse identity gate failed.
TRPM2__Yang2023_ultrasound,"Yang et al. 2023, Nature Metabolism",archive_failed_validation,Mouse identity gate failed.
